id;name;date_of_birth;status;phone_no
1;calculate Investment Account;2021-05-27;INCHECK;modular innovative Realigned
2;Tuna Granite;2021-05-28;APPROVED;override
3;bypassing Home Indiana;2021-05-28;APPROVED;payment Switchable Garden
4;Berkshire reinvent;2021-05-27;ACTIVE;synergy internet solution
5;Granite;2021-05-27;INCHECK;Concrete
6;Codes specifically reserved for testing purposes lime;2021-05-27;ACTIVE;deposit Decentralized Home Loan Account
7;Fish ROI Sausages;2021-05-27;INCHECK;24 hour
8;New Zealand;2021-05-27;APPROVED;Bacon invoice
9;white;2021-05-28;ADDED;white
10;back up Bedfordshire deliverables;2021-05-27;ADDED;National
